2349 Fenner Rd,Cazenovia,NY,13035-9702,1750000.0,101.79,42.9326283,-75.8356667,Commercial,Madison,"Apartment Units, Apartment Units - Condo, Apartment Units - Dorms, Apartment Units - Senior, Apartment Units - Subsdzd, Single Family Residence",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,,,,-0.14,-0.92,-2.99,-1.96,5001,5284,5301,5261,8027,8389,8377,8300,39944,42296,41032,40229,76460,115174,89130,118832,92821,79099,118874,91643,122640,95338,83211,121508,94119,123166,95987,51,421,305,331,123,266,46,51,419,302,327,122,266,46,299835,299833,89,706,572,541,231,370,114,89,700,565,534,230,369,113,285926,286194,230,3201,3662,2564,964,1090,1022,228,3135,3575,2515,947,1070,997,258533,258783,0.76,0.18,-2.96,2025-02-24,Upstate NY,8305.0,41855.0,120007.0,343016.0,512989.0,262.4,1997.6,6020.0,18378.2,27162.3,316.7,2254.0,6644.4,19233.4,28274.8,423.1,2674.5,7166.4,20324.8,30229.8,959.0,3061.1,8198.1,29727.4,39597.6,3564.0,17983.0,52293.0,154572.0,231214.0,1135.0,999.0,1037.0,1001.0,1029.0,753.3,2349.9,6814.4,26274.0,36085.0,647.9,3781.0,11797.4,44145.4,65124.3,744.4,4859.3,14424.3,38745.7,60218.4,919.0,5229.4,15614.1,39150.3,60397.9,644.6,3168.9,8765.8,21878.7,33829.6,726.1,3773.8,9843.7,24696.7,38481.9,1136.9,4937.6,13673.9,35453.7,55106.9,524.8,2473.8,7599.8,16999.6,26280.7,247.1,1293.7,3444.5,8008.1,12200.0,3128.0,16421.0,47516.0,137352.0,208496.0,2701.0,13522.0,37926.0,86689.0,140186.0,426.0,2899.0,9590.0,50662.0,68311.0,28.0,1105.0,1057.0,1110.0,1066.0,1085.0,"6438 Basile Rowe, East Syracuse",17.5,30.08
2571 Higby Rd,Frankfort,NY,13340-4566,,82.0,43.0400702,-75.0893531,,Herkimer,"Distribution, Industrial",,JLL,James Panczykowski,2015284400.0,2015284401.0,,,No,,,,-1.48,-1.17,-2.91,-1.86,9523,8916,8589,8430,22562,21042,20731,20488,114002,117057,113646,111535,62611,75165,63026,75645,63157,63106,74647,64685,74865,64659,53792,71528,53326,71736,52954,4,1059,267,94,95,30,1122,4,1036,265,94,94,30,1097,120160,120560,16,1860,789,193,126,140,2721,16,1829,788,192,125,142,2678,110833,111318,188,9815,4116,1345,717,965,9187,185,9633,4066,1324,703,948,8983,140545,140880,-4.13,-1.87,-2.53,2025-02-24,Upstate NY,21880.0,117487.0,180432.0,216187.0,275616.0,958.3,6760.1,9756.8,11654.3,14953.1,1347.1,7146.5,10353.7,12415.6,15687.4,1434.1,8430.0,12733.0,14652.2,18150.3,1216.8,8430.8,11995.0,14839.8,18286.3,10677.0,53030.0,82019.0,97689.0,127391.0,796.0,930.0,936.0,934.0,919.0,1001.5,7526.1,11595.6,14299.5,17944.4,2566.8,14009.3,21606.2,25401.4,33060.1,2358.6,14026.8,21835.7,25906.0,32529.2,2820.8,13642.3,21031.0,25195.3,32570.4,1657.5,8022.2,11721.3,14462.7,18770.5,1788.8,8225.7,12568.9,15441.7,19791.1,2686.7,12051.1,19954.2,24043.8,30903.1,1508.8,6490.4,10642.9,12453.3,16141.8,533.8,2726.0,4638.2,5421.7,6827.8,9668.0,47576.0,73837.0,87439.0,112250.0,6987.0,29683.0,48916.0,60158.0,76368.0,2681.0,17893.0,24921.0,27280.0,35881.0,55.0,885.0,1008.0,1021.0,1015.0,992.0,"710 Horatio St, Utica",11.59,16.13
1149 Johnson Rd,Cincinnatus,NY,13040-9613,885000.0,102.0,42.463825,-75.9381281,,Cortland,MultiFamily,,Zere Real Estate Services Inc.,Marie Zere,6314674300.0,6314675786.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",03/02/2010,100-year and 500-year Floodplain,-2.05,-1.9,-5.64,-2.7,1010,909,918,907,2938,2686,2631,2581,14126,13175,12432,12096,59582,74912,59736,76003,59444,57402,78529,62162,80651,63541,57523,79911,60813,82185,61944,1,103,34,12,4,6,137,1,101,33,12,4,6,135,111165,110891,3,314,114,32,21,23,340,3,308,112,31,21,22,333,126592,126623,11,1489,632,185,85,75,1503,11,1447,615,182,83,74,1459,132706,132930,0.87,-2.28,-5.69,2025-02-24,Upstate NY,2643.0,13342.0,32614.0,90770.0,214428.0,146.7,665.5,1624.8,4706.9,11716.2,187.7,959.8,2169.3,5178.1,11588.9,182.5,938.1,2227.8,5223.0,12145.5,142.0,648.7,1723.1,7311.0,14219.1,1250.0,6257.0,15697.0,42286.0,102353.0,799.0,830.0,858.0,926.0,961.0,199.9,962.0,2406.4,7825.1,16867.3,373.3,1591.4,3637.0,9796.5,25287.0,317.9,1635.4,3745.5,10025.6,24009.3,302.6,1632.3,4031.0,10449.2,24745.2,187.2,1031.9,2367.7,6059.3,14178.3,204.8,1045.1,2615.5,7138.9,16531.7,262.2,1404.2,3765.5,10555.6,25488.6,107.3,627.3,1705.2,4892.5,12306.1,29.0,200.1,595.3,1608.6,5345.3,1025.0,5257.0,13307.0,36999.0,89970.0,818.0,4193.0,10219.0,26931.0,61170.0,207.0,1063.0,3088.0,10068.0,28799.0,209.0,848.0,869.0,922.0,978.0,1023.0,"135 Fairgrounds Memorial Pkwy, Ithaca",35.06,53.47
Jugg St,Moravia,NY,13118,319900.0,83.03,42.7390629,-76.4052826,,Cayuga,Agricultural,,"Nolan's Insurance Agency, Inc",Thomas Nolan,3152550037.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",01/01/1900,100-year and 500-year Floodplain,-4.26,-1.73,1.12,-1.58,3879,3188,2890,2808,6269,5448,5216,5126,16778,15568,15742,15494,66941,77752,67419,76879,67092,67541,82552,69279,82118,69267,73033,94811,73447,95104,73217,21,258,104,43,39,48,154,20,251,101,43,38,46,149,169573,169720,35,527,290,109,92,90,307,34,518,286,108,91,89,302,179316,179536,159,1685,958,503,413,472,863,159,1650,939,493,413,472,841,198723,199544,-8.93,-3.23,1.91,2025-02-24,Upstate NY,4914.0,15101.0,72059.0,169889.0,396088.0,145.9,634.6,3581.9,8236.1,19761.8,235.8,779.3,3587.3,8293.3,19632.5,321.1,968.5,4407.7,9160.6,20999.0,359.8,1013.9,6131.7,15506.6,38100.5,2505.0,7781.0,33504.0,78222.0,181361.0,945.0,1043.0,1019.0,1063.0,1121.0,160.4,606.7,5150.3,13254.5,38428.0,641.4,1688.4,7296.7,19409.8,49163.7,632.0,1730.4,8588.7,19342.1,44655.6,783.1,2191.6,8048.0,19237.3,42004.8,416.1,1248.5,5082.7,11142.1,24801.2,329.0,1156.1,5611.7,12659.8,27144.8,537.1,1911.9,8655.3,20026.1,42255.0,276.3,920.5,4519.6,10176.0,20220.0,76.0,250.5,1397.9,3444.7,8921.4,1833.0,5964.0,29053.0,69221.0,161420.0,1531.0,5028.0,22203.0,47328.0,100480.0,303.0,935.0,6849.0,21893.0,60940.0,176.0,1014.0,1126.0,1102.0,1138.0,1194.0,"6438 Basile Rowe, East Syracuse",43.57,56.13
491 Kibbie Lake Rd,Constantia,NY,13044-3705,841000.0,579.0,43.2741577,-75.965075,,Oswego,,,Cushman & Wakefield | Pyramid Brokerage Company,Mark Austin,3154451030.0,3154452074.0,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,06/18/2013,100-year Floodplain,3.82,0.7,0.05,-1.06,2489,2298,2413,2436,5554,5501,5711,5751,37332,39959,39979,39555,73763,81992,68863,80113,67425,71456,82696,69336,81340,68541,79678,97662,79638,97063,78364,0,438,49,63,0,0,290,0,442,50,64,0,0,293,129680,129751,2,916,203,110,15,5,651,2,923,204,111,15,5,656,132751,132719,84,5190,3505,1285,344,289,2437,83,5128,3452,1267,343,287,2433,179575,179241,4.9,3.65,-0.15,2025-02-24,Upstate NY,5452.0,40281.0,134561.0,432708.0,585380.0,313.1,2281.3,6908.3,22927.8,32011.5,229.2,2423.5,7176.8,24538.6,33049.6,329.1,2415.6,7962.8,27145.1,35995.0,399.9,2388.7,7004.6,32355.9,41070.2,2555.0,18087.0,60778.0,196844.0,265654.0,1044.0,977.0,1062.0,1044.0,1042.0,223.1,1784.0,6900.0,29239.9,37868.3,590.9,4461.1,17209.6,56920.6,74707.8,623.3,4820.4,16510.4,52148.3,69449.8,661.6,5473.8,17740.4,52137.3,70392.6,650.6,3686.3,10673.1,28791.9,40212.9,355.7,3563.1,11355.2,32106.5,44057.1,821.6,4556.9,15390.5,44855.6,63378.3,206.0,1793.2,7126.4,20741.5,29649.2,47.9,633.5,2602.8,8799.3,13537.2,2178.0,16079.0,55681.0,178817.0,241833.0,2000.0,13447.0,45348.0,116683.0,164065.0,178.0,2632.0,10333.0,62135.0,77767.0,195.0,1067.0,989.0,1091.0,1109.0,1097.0,"6438 Basile Rowe, East Syracuse",30.87,38.8
455 Lafayette Rd,Syracuse,NY,33480,5500000.0,80.0,42.9924338,-76.1271468,RA-1,Onondaga,"Agricultural, Apartment Units, Apartment Units - Senior, Golf Course/Driving Range, MultiFamily, Planned Unit Development, Self-Storage, Single Family Development",,Hospitality Associates,John Christopher,3155691227.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-0.42,-1.9,-2.18,-2.34,51290,51731,52062,51187,143596,146603,145982,143215,317830,324655,317564,310146,49449,74797,49943,75270,49649,46849,70663,47327,71040,47314,57996,80904,59017,81277,58953,144,2632,1384,1070,742,488,3462,142,2561,1345,1041,726,476,3406,156952,156325,234,7480,4297,2095,1148,1057,7050,231,7280,4181,2035,1124,1031,6892,161904,161744,536,30225,14692,5279,2347,2705,16440,528,29352,14274,5133,2291,2633,16018,165085,165060,1.24,1.34,-1.65,2025-02-24,Upstate NY,144909.0,323189.0,449002.0,517610.0,610236.0,8178.0,18022.3,24608.4,28286.0,32864.9,7756.4,18161.8,25453.6,29070.4,33700.5,8298.3,19163.8,27141.9,31887.6,37057.6,16932.7,25748.9,33361.4,36761.3,41990.3,64451.0,146745.0,201112.0,232841.0,276958.0,1009.0,1036.0,1057.0,1061.0,1044.0,14492.1,23570.9,30558.6,33889.4,38887.4,21019.3,44228.5,58795.1,66307.8,77278.1,15327.9,37944.7,54177.6,61944.4,73629.7,13477.9,35785.3,51613.7,60766.4,71947.9,7741.0,19704.8,28733.3,34523.0,42192.2,8547.7,22908.3,33522.3,38795.2,46785.0,13453.4,33332.6,47696.0,56281.3,67344.0,6358.6,16185.6,22677.6,26903.9,32298.2,3325.6,8431.4,10662.6,12193.3,14259.7,56487.0,134091.0,184921.0,213378.0,252508.0,27311.0,80811.0,120860.0,143005.0,171460.0,29175.0,53280.0,64062.0,70372.0,81048.0,8.0,1096.0,1107.0,1121.0,1121.0,1101.0,"6438 Basile Rowe, East Syracuse",9.44,15.32
3797 Lake,Brockport,NY,14420-1415,2500000.0,199.5,43.229514,-77.942357,PUD,Monroe,Planned Unit Development,,Benchmark Realty Advisors,Adam Rooney,5854899512.0,,,,Yes,Areas with a 1% annual chance of flooding and a 26% chance of flooding over the life of a 30-year mortgage.,08/28/2008,100-year Floodplain,1.05,-1.01,-2.15,-1.63,16453,16991,17455,17339,24790,26739,27021,26749,72484,75166,73549,72351,62626,77251,57599,77122,56322,64427,81394,61787,81145,60735,71673,91160,72147,91343,71741,20,1965,824,120,151,117,704,20,1953,823,119,152,115,697,163434,163619,49,3467,1295,247,271,180,1472,49,3427,1287,246,271,177,1450,158220,158462,175,10578,4661,1521,933,644,3262,172,10383,4587,1500,921,633,3204,172083,172194,3.18,1.22,-2.26,2025-02-24,Upstate NY,26279.0,74566.0,241637.0,578202.0,757538.0,1118.9,3452.6,12332.3,31212.7,39741.0,1245.3,3920.7,12505.2,30519.5,40608.2,1212.4,4892.7,14471.1,35016.3,45996.7,2879.7,6118.6,16375.8,41601.2,51818.0,10819.0,30951.0,104237.0,261820.0,341600.0,960.0,1037.0,1112.0,1086.0,1110.0,2629.4,5179.0,13008.1,42259.5,51644.1,3572.8,8839.5,30625.8,87957.1,108902.5,2544.6,8093.9,27926.2,68569.7,90798.2,2882.8,8587.0,30261.8,64896.6,87962.5,1899.4,5756.3,18616.3,40009.1,52982.9,1798.8,5844.7,17726.5,37881.4,51230.8,2901.3,8555.3,28543.5,58456.4,79734.2,1192.2,3740.7,13139.4,27324.5,38041.2,401.9,1585.4,6105.5,12497.9,18077.6,10143.0,29251.0,98877.0,242066.0,318489.0,7013.0,22471.0,74517.0,143935.0,200632.0,3130.0,6780.0,24359.0,98131.0,117858.0,52.0,1004.0,1083.0,1191.0,1161.0,1188.0,"1200 Marketplace Dr, Rochester",26.08,33.15
0 Maider Rd,Clay,NY,13041,,86.11,43.2023719,-76.2305327,R-APT & R-7.5,Onondaga,Commercial,,Cushman & Wakefield | Pyramid Brokerage Company,Stephen Scuderi,3154451030.0,3154452074.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-2.97,-2.35,-3.65,-2.52,19408,21173,20531,20032,49143,53862,52263,51036,182472,194481,187379,182660,82736,106477,83982,105880,82752,84819,107034,85011,105777,83444,72650,92501,72658,92267,71891,91,2885,1984,625,84,224,428,89,2805,1922,605,83,219,419,194713,194545,244,7624,4285,1522,436,653,1195,241,7419,4157,1479,425,638,1174,188988,188859,407,27093,12301,4022,904,1522,8722,402,26331,11947,3914,879,1486,8509,169255,169214,-3.24,-3.19,-3.81,2025-02-24,Upstate NY,53193.0,193672.0,446734.0,537157.0,629175.0,2763.0,10104.4,24718.5,29539.8,34190.6,3195.5,11281.3,25410.2,30472.5,35505.4,3801.0,12376.4,27973.0,33251.9,38552.3,2767.3,10047.3,32514.2,37903.0,45417.3,22742.0,86685.0,200904.0,241016.0,284082.0,1275.0,1139.0,1056.0,1054.0,1046.0,2962.3,10691.4,30594.3,34800.0,41354.2,5795.9,24607.8,60376.4,69914.8,80386.8,7083.0,25086.5,53674.0,64674.0,74505.9,7392.3,24814.2,52164.7,63173.1,73994.6,3804.3,14120.5,29207.9,36847.6,43524.6,3842.0,15481.2,32380.6,39820.2,47275.3,6185.3,21594.5,46600.4,57712.2,68223.3,2642.8,9613.8,21176.4,26805.1,31806.5,958.4,3852.4,9943.1,12242.6,14437.7,21893.0,82233.0,184807.0,221718.0,258586.0,17006.0,59019.0,118618.0,148474.0,175524.0,4888.0,23213.0,66188.0,73243.0,83062.0,26.0,1299.0,1170.0,1111.0,1112.0,1105.0,"6438 Basile Rowe, East Syracuse",19.75,25.33
0 Main St,Hunt,NY,14846,315000.0,82.6,42.5485029,-77.9864491,1,Livingston,"MultiFamily, Single Family Development",David Piper,David Piper,David Piper,,,,,No,,,,-6.22,-1.09,-4.04,1.03,1539,1365,1315,1301,4067,3634,3408,3371,12354,11792,11316,11432,59999,67594,66129,68266,67500,59435,65133,59776,64634,59629,59420,65795,60567,65302,60423,0,130,20,10,1,4,265,0,129,21,10,1,4,262,81131,81488,1,352,61,29,7,7,627,1,346,62,28,7,7,622,86443,86253,28,1293,307,73,39,57,1861,28,1294,315,74,41,58,1887,98280,97959,-3.95,-6.74,-3.96,2025-02-24,Upstate NY,3862.0,11922.0,36980.0,72629.0,125601.0,146.6,530.2,1651.2,3290.5,5902.3,236.3,749.8,2135.2,3902.5,6706.0,297.7,837.0,2325.2,4160.8,7025.7,173.6,721.3,2437.3,6048.5,10756.0,1882.0,6071.0,17719.0,34657.0,59499.0,807.0,788.0,800.0,854.0,842.0,152.2,658.4,2466.3,6226.3,11192.7,509.9,1344.1,4255.0,7850.2,13457.6,485.8,1270.9,4392.5,7991.0,13903.8,383.6,1378.8,4428.6,8256.6,14078.3,357.7,885.3,2492.0,4684.3,7978.2,328.4,1007.8,2950.9,5693.1,9709.8,469.1,1475.9,4322.0,8641.7,14755.8,196.3,754.5,2223.3,4220.8,7247.4,124.5,308.0,900.7,1662.7,2887.1,1705.0,4929.0,14726.0,28378.0,49401.0,1371.0,4034.0,11617.0,22144.0,37739.0,334.0,895.0,3108.0,6233.0,11662.0,135.0,843.0,813.0,833.0,901.0,903.0,"4235 Veteran Dr, Geneseo",23.37,33.63
1070 NY-414,Waterloo,NY,13165,3500000.0,120.0,42.972386,-76.852203,04 - FARM,Seneca,Commercial,Upstate NY Property Development,Cushman & Wakefield | Pyramid Brokerage Company,Gregory J. Hamel,3154451030.0,3154452074.0,,,No,,,,-6.58,-2.24,-2.81,-1.12,1639,1659,1504,1460,10927,11196,10459,10225,44112,41808,40634,40178,61956,79862,64234,80633,64875,57480,72943,60677,74262,61236,55978,72473,58770,73411,59243,3,158,62,12,18,26,171,3,153,59,12,17,25,166,134177,133660,9,1050,264,76,37,63,1414,9,1025,256,75,36,61,1381,104048,103951,85,3594,1167,608,198,176,5210,85,3538,1151,605,197,174,5135,108598,108691,-9.36,-5.69,-2.53,2025-02-24,Upstate NY,10797.0,40786.0,103951.0,164464.0,255971.0,527.0,2353.1,5993.4,8967.3,13581.2,578.4,2478.3,6100.6,9206.1,14103.9,635.1,2396.8,5928.8,9496.4,14994.5,704.9,2275.2,6589.6,10003.5,14883.3,5215.0,19562.0,48458.0,77369.0,121592.0,859.0,907.0,928.0,939.0,972.0,531.2,2377.2,6670.6,9978.3,15149.4,1389.3,5003.0,12812.1,20186.5,30643.6,1118.5,4629.3,12068.5,19075.8,29557.8,1269.4,4878.5,11775.0,18727.3,30307.4,737.5,3108.0,7415.2,11827.6,18658.3,899.1,3417.2,7841.3,13229.1,20355.0,1246.0,4697.3,12059.7,19923.3,31555.7,737.5,2031.5,5911.3,9481.4,15592.5,423.5,1140.9,2784.4,4361.1,6588.1,4763.0,17699.0,43442.0,68610.0,107104.0,3118.0,12191.0,29143.0,49013.0,77756.0,1645.0,5508.0,14299.0,19597.0,29348.0,80.0,989.0,1026.0,985.0,989.0,1039.0,"1860 N Rd, Waterloo",4.85,8.6
7892 Oak Orchard Rd,Batavia,NY,14020,,526.0,43.0301556,-78.2001778,B  00,Genesee,Single Family Development,Offhaus Farms Inc,Mancuso Commercial Realty,Anthony Mancuso,5853435257.0,5853435550.0,,,No,,,,-2.86,-1.83,-2.44,-1.75,16563,16151,15427,15092,26428,26040,25294,24831,40081,38951,38002,37338,54719,69608,54873,69862,54956,56604,73594,57793,74213,58029,60846,77790,62364,78256,62491,25,1497,466,95,51,63,1359,24,1472,460,93,49,63,1323,127989,128464,28,2656,1071,188,102,82,2241,27,2617,1062,184,100,82,2192,135504,135919,80,4673,1789,300,187,134,3446,77,4604,1769,295,184,133,3375,139771,140041,-4.42,-2.86,-2.42,2025-02-24,Upstate NY,25525.0,39043.0,80766.0,157772.0,329068.0,1254.0,1957.9,3878.1,7873.7,16363.3,1353.8,2111.9,4021.2,7927.1,17574.2,1549.6,2471.3,4851.9,9158.4,19013.2,1326.3,2189.7,4512.4,9727.3,20372.9,12150.0,17775.0,34984.0,68440.0,142267.0,931.0,924.0,910.0,909.0,1018.0,1436.5,2126.5,4319.5,9782.5,19165.7,3328.2,4922.5,10563.1,19695.8,39157.7,3131.2,4708.2,10067.2,18961.8,39315.1,3202.9,4890.4,10234.8,19003.2,40416.5,1818.2,2825.0,6603.7,12881.2,26204.7,1754.0,2950.6,6203.0,12357.4,26111.1,2975.4,4543.8,9112.2,18200.2,38902.8,1549.2,2283.1,4419.1,8726.0,18627.5,845.7,1061.5,1980.3,3477.2,7843.0,11604.0,16954.0,33073.0,64088.0,133532.0,7433.0,11996.0,24791.0,48127.0,103359.0,4171.0,4958.0,8281.0,15961.0,30173.0,53.0,961.0,957.0,952.0,960.0,1067.0,"1200 Marketplace Dr, Rochester",32.65,33.57
Pavement & Walden Ave,Lancaster,NY,14086,,82.0,42.9243979,-78.6254677,C,Erie,"Commercial, Industrial, Office, Warehouse",Uniland Development Co.,Uniland Development Co.,Noah Cliff,7166708063.0,7168345034.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",06/07/2019,100-year and 500-year Floodplain,2.87,-0.28,0.64,-0.69,17368,21102,21555,21465,67085,74289,76418,76203,370192,379467,381914,379267,76211,97907,79379,98241,79805,77529,102058,80070,102213,79819,68849,93981,71659,93924,71442,28,2032,2157,1337,362,309,353,28,2015,2151,1337,360,311,350,241910,242352,184,8086,7575,3641,1324,1640,1994,187,8032,7555,3636,1324,1649,1989,228277,228656,1131,36219,29322,15905,7349,8170,15061,1129,35910,29252,15888,7349,8176,14780,218070,218980,1.41,2.3,0.39,2025-02-24,Upstate NY,75967.0,389499.0,863271.0,1023604.0,1157205.0,3655.1,21406.3,47154.3,54327.6,61067.1,4272.8,22511.1,49492.9,58464.8,66408.1,3843.2,23100.1,48360.5,57689.6,65056.8,3730.7,25302.2,52657.2,62445.3,69696.2,34179.0,172574.0,401299.0,472208.0,536218.0,1150.0,1124.0,1050.0,1046.0,1027.0,3687.4,23548.5,56866.3,64839.2,72346.5,9019.4,47847.0,124994.0,143285.6,159758.5,9034.9,46849.6,105902.4,125587.8,141598.9,9243.6,45170.9,98498.3,119943.0,136621.3,5975.7,27104.9,59618.9,72267.4,82796.2,6497.5,28170.8,60140.8,72511.9,83074.7,9206.2,43414.8,94041.2,113947.0,129621.0,5365.8,23919.0,44770.6,53669.6,60991.4,2434.8,11153.6,20773.8,24625.2,28167.8,32701.0,163142.0,372688.0,439672.0,497986.0,25442.0,117921.0,236767.0,288126.0,329028.0,7259.0,45221.0,135920.0,151546.0,168958.0,34.0,1210.0,1196.0,1115.0,1111.0,1090.0,"3290 Sheridan Dr, Amherst",13.34,22.02
Pittsford Palmyra Road,Fairport,NY,14450,,114.72,43.065895,-77.3797734,,Monroe,,,Cushman and Wakefield/Pyramid Brokerage Company,Martin Manilla,5852489426.0,5852483981.0,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,08/28/2008,100-year Floodplain,-0.57,-1.03,-1.04,-1.07,15708,16117,15760,15537,52069,58753,58420,57819,180840,201097,199005,196881,112272,139854,113469,139496,113034,97426,124134,99006,123149,97426,91656,121307,94475,121110,93782,5,1336,1634,1066,493,355,148,5,1317,1608,1047,486,351,149,263310,263152,46,5286,6476,3100,1817,1157,513,46,5227,6396,3056,1802,1153,514,252478,252470,501,18476,19187,11084,5543,4265,3473,495,18246,18942,10943,5478,4225,3449,248551,248537,-2.43,-0.83,-1.26,2025-02-24,Upstate NY,58643.0,204472.0,575120.0,799673.0,916598.0,2958.2,10156.1,29379.6,42010.7,47824.1,3214.3,12321.2,31353.9,44524.7,50781.7,3559.0,13529.3,35318.7,48651.5,55382.7,3346.0,12408.4,36934.6,51853.2,59730.4,25740.0,87589.0,262081.0,362463.0,415349.0,1320.0,1306.0,1147.0,1135.0,1133.0,2197.8,9293.7,38458.8,50639.1,57506.1,4898.6,19313.6,78804.4,109321.2,122009.5,8223.5,26420.7,70782.2,98953.0,111683.6,8423.3,27762.7,68529.3,95266.1,109549.5,4787.8,15879.1,39661.5,56006.5,64957.6,4094.0,14342.7,38404.9,54782.1,64384.8,7516.9,24356.2,61870.0,85650.5,100964.2,3978.5,12727.2,31179.4,42447.3,49295.8,1445.6,5961.2,14442.6,19566.6,22528.4,24915.0,84370.0,244986.0,338913.0,386912.0,20105.0,66585.0,152225.0,217213.0,254341.0,4810.0,17785.0,92762.0,121700.0,132572.0,7.0,1378.0,1381.0,1217.0,1211.0,1209.0,"1200 Marketplace Dr, Rochester",13.21,26.02
