5219 Rome Taberg Rd,Rome,NY,13440-1725,445000.0,150.0,43.2595467,-75.53816,Agriculture,Oneida,"Agribusiness, Agricultural, Commercial, Golf Course/Driving Range",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",09/27/2013,100-year and 500-year Floodplain,0.68,-1.23,1.17,-1.08,3030,2802,2920,2904,23687,21639,21786,21518,58379,53539,54167,53581,79375,83209,71430,79695,69017,63853,74959,61758,73968,60606,61901,74426,61562,74007,60977,0,343,193,68,45,22,293,0,340,192,68,44,22,290,155101,155294,17,2230,965,484,237,205,2130,17,2202,958,480,234,202,2098,145022,145299,34,5465,2303,886,630,394,5047,34,5391,2278,880,623,389,4975,142680,142849,3.93,0.53,0.94,2025-02-24,Upstate NY,21779.0,52998.0,102390.0,225126.0,291156.0,1299.6,2990.9,5382.9,12213.2,15857.3,1206.1,3156.3,5747.5,12779.9,16685.5,1127.2,2949.9,5726.5,14329.9,18659.3,1170.5,2920.4,5505.6,14461.3,18480.9,10398.0,25093.0,47638.0,103679.0,134668.0,920.0,878.0,897.0,929.0,935.0,1303.7,2848.5,5731.6,14457.9,17711.2,2814.5,7218.8,12927.1,27288.4,34447.2,2346.3,5591.6,11027.5,26181.2,34339.8,2634.8,6543.8,13397.4,27687.6,35494.4,1589.0,4183.1,7889.8,15436.4,20908.0,1754.0,4160.1,8231.9,16236.9,21616.9,2483.9,5984.0,12239.0,25466.9,33406.2,1465.8,3165.2,5968.6,12986.3,16463.1,583.8,1285.3,2614.8,5599.8,7086.5,9590.0,22604.0,43074.0,93047.0,119185.0,6914.0,15444.0,31201.0,63286.0,83946.0,2677.0,7160.0,11874.0,29760.0,35238.0,51.0,944.0,931.0,943.0,992.0,999.0,"4765 Commercial Dr, New Hartford",19.45,30.37
Route 31,Clay,NY,13041,,181.84,43.185304,-76.171339,Varies,Onondaga,,,Cushman & Wakefield | Pyramid Brokerage Company,Mark Austin,3154451030.0,3154452074.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-4.04,-2.75,-2.91,-2.43,16955,18710,17422,16826,86428,90014,86376,84003,260908,276625,268578,262047,97096,117303,103578,117644,104535,79148,98841,80526,98885,79731,62127,81954,62868,81976,62496,55,2856,1700,525,77,293,366,54,2754,1634,505,75,284,354,189985,189905,214,14167,6651,1446,307,760,2173,209,13724,6442,1399,298,741,2111,175428,175422,464,32555,13274,4564,1114,1820,13452,459,31652,12917,4446,1087,1773,13091,161955,161991,-7.13,-4.15,-2.68,2025-02-24,Upstate NY,89321.0,274026.0,459618.0,535807.0,616434.0,4864.3,14529.3,25432.2,29673.3,33341.3,5211.4,15878.2,26221.7,30376.8,34905.0,5456.2,17719.3,28354.9,33173.6,38139.9,4629.6,14824.7,33186.1,37628.4,42952.9,38827.0,127866.0,206430.0,240189.0,278442.0,1168.0,1073.0,1063.0,1052.0,1050.0,5055.5,16389.8,30982.9,34836.6,39263.8,12054.7,39473.3,61124.6,69664.6,78266.3,11758.2,35005.8,55535.7,64422.1,73624.5,11497.5,33735.2,53643.9,62936.8,73369.5,5965.3,18288.2,30175.8,36747.0,43094.0,7015.8,21299.5,33617.3,39816.9,46355.1,9631.3,28905.2,48302.8,57567.2,67370.5,4676.5,12471.5,22594.6,26696.0,31444.6,1504.9,5506.6,10446.0,12267.4,14306.7,37206.0,118990.0,189963.0,221021.0,253815.0,27636.0,74101.0,123619.0,147843.0,174080.0,9571.0,44888.0,66344.0,73179.0,79735.0,14.0,1186.0,1108.0,1125.0,1111.0,1109.0,"6438 Basile Rowe, East Syracuse",15.76,21.27
12 Schroeppel Rd,Pennellville,NY,13132-3135,2200000.0,114.9,43.2311137,-76.2206047,,Oswego,"Apartment Units, Apartment Units - Condo, Apartment Units - Dorms, Apartment Units - Senior, Apartment Units - Subsdzd, Industrial, Industrial Park",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-2.66,-2.02,-3.51,-2.4,5127,5007,5017,4979,33917,37059,36073,35346,163124,173131,167051,163035,80278,91051,74746,87986,69425,79011,102141,80254,100712,78594,75753,95509,75331,95067,74219,70,789,418,151,27,101,214,71,782,412,151,26,99,216,185044,184718,177,4861,3176,1235,207,470,1052,176,4748,3089,1205,202,461,1043,193334,193070,364,25384,11828,3854,887,1365,6610,360,24690,11500,3754,863,1335,6460,173022,172988,0.0,-2.91,-3.7,2025-02-24,Upstate NY,37545.0,172232.0,401593.0,528378.0,615760.0,1995.6,8784.5,22365.4,29149.5,33301.1,2132.2,9677.2,23031.6,29991.9,34899.3,2494.9,10858.3,26019.5,32523.4,37926.7,1827.4,9114.3,27366.5,37515.9,44707.3,16736.0,76570.0,182660.0,237708.0,277518.0,1253.0,1168.0,1054.0,1054.0,1048.0,2141.5,9739.0,25989.8,34574.6,40622.0,4225.0,21801.9,55264.6,69301.3,78402.4,4725.9,22037.5,49672.1,63465.4,73066.4,5322.8,22007.9,47258.1,62195.0,72313.2,2990.5,12689.3,26622.7,36240.6,42669.5,2909.1,13872.8,29770.7,38825.5,45981.2,4313.7,19529.4,41476.8,56480.9,66659.8,1879.4,8678.9,18372.9,26262.2,31105.2,587.0,3441.3,8381.6,11851.9,14106.2,15802.0,72917.0,168180.0,218221.0,252656.0,11866.0,53769.0,107063.0,145362.0,171582.0,3935.0,19148.0,61117.0,72860.0,81074.0,46.0,1256.0,1202.0,1106.0,1112.0,1108.0,"6438 Basile Rowe, East Syracuse",21.04,26.8
4540 Seneca Turnpike W,Syracuse,NY,13215,1000000.0,88.0,43.0045512,-76.1639611,,Onondaga,"Hold for Development, Single Family Development",,Cushman & Wakefield | Pyramid Brokerage Company,Joyce Mawhinney Macknight,3154451030.0,3154452074.0,,,Yes,"River or stream flood hazard areas, and areas with a 1% or greater chance of shallow flooding each year. These areas have a 26% chance of flooding over the life of a 30-year mortgage.",11/04/2016,100-year Floodplain,-1.3,-2.1,-2.14,-2.33,79395,78664,79380,78155,177612,181533,179166,175403,340634,346056,338645,330749,44456,65517,43647,65687,43136,47163,70030,48168,70501,48290,58611,80877,59643,81190,59547,76,3683,1825,1150,430,383,4653,76,3585,1776,1115,423,375,4574,139288,138716,287,11533,5239,2396,1034,1228,8973,282,11225,5094,2328,1012,1196,8749,155250,155180,526,34010,15885,5110,2202,2728,17048,519,33039,15442,4970,2151,2655,16609,163823,163813,2.93,-0.08,-1.64,2025-02-24,Upstate NY,178141.0,341581.0,464032.0,522861.0,610530.0,10650.3,18932.1,25351.4,28522.4,33064.4,10212.4,19216.0,26414.9,29275.3,33848.0,11062.2,20047.9,28610.6,32101.3,37177.3,18074.2,26903.2,33571.5,37132.0,41860.2,80465.0,155358.0,208207.0,234973.0,276756.0,1000.0,1042.0,1062.0,1061.0,1046.0,15715.4,24883.8,30788.9,34116.4,38839.4,25856.6,46747.7,60520.0,66994.1,77716.8,19879.3,40459.9,56131.7,62494.9,73791.4,17794.4,37871.2,53727.7,61165.9,71879.2,9581.5,20526.9,30087.2,35116.5,41960.5,10753.4,24329.9,34535.7,39418.0,46694.4,16697.2,35511.5,49436.0,57095.3,67460.8,7546.3,17352.5,23738.3,27134.8,32156.8,4317.8,8798.9,11118.2,12293.5,14080.6,71076.0,142275.0,191832.0,215627.0,252267.0,35297.0,85703.0,125563.0,144867.0,171390.0,35778.0,56572.0,66270.0,70760.0,80877.0,6.0,1075.0,1111.0,1126.0,1121.0,1104.0,"6438 Basile Rowe, East Syracuse",9.62,17.28
1135 Toggenburg Rd,Fabius,NY,13063-9788,1995000.0,156.0,42.82627,-75.95987,C1,Onondaga,"Commercial, Golf Course/Driving Range, Hold for Development, Hold for Investment, Hospitality, Lodge/Meeting Hall, Mixed Use, Office, Open Space, Pasture/Ranch, Restaurant, Spclty/Festvl/Entertnmnt, Storefront, Trailer/Camper Park, Warehouse, Winery/Vineyard",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-14.65,-5.13,-6.61,-2.85,1199,1260,1077,1020,3295,3269,2790,2647,20453,19843,18532,18003,77467,102629,78813,103896,78302,79390,103510,81937,104808,82122,83774,108355,85221,108507,84893,0,124,64,59,16,8,64,0,117,61,55,15,8,61,183467,183333,6,297,167,159,39,32,193,6,280,159,150,37,32,182,185353,186071,89,1727,1475,953,402,501,802,87,1669,1427,926,394,497,771,230203,231219,-14.64,-14.51,-6.5,2025-02-24,Upstate NY,3361.0,20070.0,76884.0,326120.0,499967.0,153.6,869.4,4065.2,17738.0,26357.7,174.4,958.7,4124.1,18194.1,27656.9,195.7,1068.9,4321.8,19283.3,29133.9,144.9,1529.0,4962.4,28951.9,39922.2,1523.0,8744.0,34297.0,146898.0,227672.0,880.0,1083.0,1067.0,1004.0,1021.0,134.5,1456.6,4103.4,26524.4,37478.8,331.1,1893.2,7286.8,42571.2,63311.9,382.4,2090.6,9021.8,36662.0,58109.8,462.4,2366.7,9376.8,35501.7,57346.8,288.3,1794.3,6092.2,20317.2,31989.2,354.8,1819.3,6626.3,23070.6,37220.4,429.0,2561.9,9555.7,33333.3,53645.8,184.0,1108.1,4984.7,16151.0,25945.1,126.1,553.7,2362.8,7821.7,11848.5,1409.0,7838.0,31241.0,130844.0,204519.0,1283.0,6773.0,25173.0,80382.0,133428.0,126.0,1065.0,6068.0,50462.0,71092.0,42.0,996.0,1049.0,1159.0,1075.0,1085.0,"6438 Basile Rowe, East Syracuse",21.27,30.47
us route 11 Rt,Central Square,NY,13036,9500000.0,200.0,43.2624125,-76.1431314,COM,Oswego,"Apartment Units, Apartment Units - Condo, Apartment Units - Dorms, Apartment Units - Senior, Apartment Units - Subsdzd, Distribution, Manuftrd Hms/Mobl Hm Prk, Office, Warehouse",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",01/01/1900,100-year and 500-year Floodplain,-3.11,-1.36,-3.03,-2.16,8569,9842,9511,9358,16069,17693,17143,16910,118671,125060,121269,118654,70911,95512,74543,94784,74047,73499,93048,73917,91566,72610,79143,98084,78936,97389,77554,0,1269,782,282,76,136,277,0,1247,769,279,74,134,274,189361,189374,70,2379,1298,614,108,244,703,70,2346,1279,606,105,239,700,184278,184078,327,18574,9033,2929,606,1194,4497,323,18111,8800,2860,591,1167,4427,175820,175713,-3.96,-3.59,-3.19,2025-02-24,Upstate NY,18205.0,122694.0,318318.0,515771.0,611384.0,1048.0,6319.9,17165.7,28510.0,33215.3,1033.4,7134.0,18486.4,29158.9,34632.7,1099.2,7771.2,20558.9,32105.1,37679.3,768.6,6486.7,16882.9,36619.4,44459.6,8347.0,53450.0,147425.0,232813.0,276297.0,1075.0,1138.0,1062.0,1052.0,1047.0,1015.6,6767.3,18650.0,33892.8,40432.4,2091.1,15465.6,44662.1,67660.6,77951.1,2118.9,15787.0,40415.4,62098.5,72694.4,2686.2,15929.3,39723.3,60833.7,72031.9,1480.5,9193.1,22363.9,34921.8,42286.5,1570.2,9886.9,24345.4,37952.3,45519.2,1959.1,13803.3,34148.4,54897.3,65792.3,893.3,6001.2,14736.4,25530.0,30766.1,441.3,2148.8,6178.6,11590.2,13923.6,7598.0,50692.0,136616.0,212986.0,251139.0,5797.0,39128.0,88826.0,141343.0,170171.0,1801.0,11564.0,47790.0,71644.0,80968.0,83.0,1069.0,1176.0,1096.0,1111.0,1105.0,"6438 Basile Rowe, East Syracuse",19.37,24.17
4885 Verplank Rd,Clay,NY,13041-9603,11500000.0,180.0,43.2027726,-76.177554,,Onondaga,"Airplane Hangar, Airport, Apartment Units, Apartment Units - Condo, Apartment Units - Dorms, Apartment Units - Senior, Apartment Units - Subsdzd, Commercial, Hold for Development, Hold for Investment, Industrial, Industrial Live/Work Unit, Industrial Park, Retail, Retail Warehouse, Single Family Development, Storefrnt Retail/Residntl, Storefront, Storefront Retail/Office, Warehouse",,Canaan Realty,Allen Olmsted,3156824500.0,3156824214.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-3.86,-2.63,-3.39,-2.47,9580,12455,11665,11293,60939,64038,61569,59951,205234,219376,211934,206700,89680,111178,94125,109845,93883,86265,105984,89361,105698,88814,69008,89001,69268,88883,68657,55,1580,1180,478,99,165,208,53,1527,1137,462,96,161,203,208008,207872,219,10347,5357,1179,224,696,1470,216,10040,5195,1144,218,677,1436,179984,179949,394,28158,12640,4371,1023,1624,10452,389,27379,12302,4258,997,1585,10193,167046,167053,-6.59,-4.06,-3.53,2025-02-24,Upstate NY,64956.0,217818.0,455387.0,535390.0,621904.0,3565.1,11709.6,25332.1,29623.0,33640.1,3769.3,13240.1,25949.2,30399.7,35231.1,4225.6,14539.0,28227.4,33208.4,38374.0,3263.5,11556.9,33024.6,37686.4,43787.7,27664.0,98209.0,204989.0,240065.0,281362.0,1209.0,1112.0,1056.0,1052.0,1049.0,3707.2,11951.8,30973.2,34800.1,40565.8,8219.7,28516.0,61112.9,69624.5,79075.8,8520.2,27735.5,54770.4,64425.7,74087.8,8881.0,27764.2,53187.1,62923.7,73610.2,4581.0,15375.8,29870.3,36703.0,43210.0,4998.7,17158.2,33018.2,39690.5,46677.6,7015.4,23729.8,47640.2,57453.2,67668.3,3304.4,10342.9,22023.3,26617.5,31591.1,904.5,4198.3,10258.0,12234.0,14384.1,26535.0,92435.0,188433.0,220819.0,256087.0,20907.0,63773.0,121619.0,147675.0,174559.0,5628.0,28662.0,66814.0,73144.0,81528.0,22.0,1200.0,1144.0,1115.0,1111.0,1109.0,"6438 Basile Rowe, East Syracuse",17.24,24.53
11580 Walden Ave,Alden,NY,14004-9715,,152.0,42.935961,-78.557225,R-C,Erie,"Apartment Units, Commercial, Hold for Development, Industrial, Office, Single Family Development, Trailer/Camper Park, Unknown, Warehouse",,CBRE Upstate NY,Lida Eberz,7168553700.0,7168553725.0,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,06/07/2019,100-year Floodplain,5.25,0.14,2.62,-0.34,4245,4720,4759,4727,20067,22606,23792,23826,169873,183113,187910,187278,77324,90508,76264,89463,74917,77916,98653,79764,98409,78940,79339,105656,82321,105325,81736,5,316,660,305,124,150,119,5,314,654,302,123,150,119,261287,261238,82,1511,2799,1554,682,689,548,83,1511,2792,1550,687,697,549,266934,267138,458,17740,17087,9868,5221,5913,4272,460,17583,17024,9854,5228,5923,4241,248384,248945,0.51,4.67,2.25,2025-02-24,Upstate NY,24537.0,185343.0,613702.0,993373.0,1122600.0,1190.9,9140.1,33088.3,53298.0,59439.1,1267.7,9976.0,34838.0,56629.8,64034.7,1382.7,10340.4,35429.5,56145.8,63582.0,1059.9,9507.1,38734.4,59929.9,67640.5,10813.0,82534.0,276232.0,459657.0,517235.0,1099.0,1239.0,1090.0,1041.0,1039.0,807.3,8540.1,40411.3,63602.2,70036.6,2278.6,20961.3,80571.9,141493.3,155425.5,3252.7,22136.4,74056.4,121373.0,137709.0,2649.0,22808.3,70005.9,115423.3,132110.9,1837.5,14647.8,43573.6,69624.8,80280.5,2396.0,14559.5,44095.1,70042.3,80667.6,3189.6,22919.5,69030.7,109694.7,125500.3,2084.9,13344.1,33923.8,52066.7,59038.7,1139.7,6461.9,15943.0,24049.4,27134.7,10104.0,78785.0,258667.0,427364.0,481948.0,8068.0,61956.0,179468.0,276809.0,320087.0,2036.0,16830.0,79199.0,150555.0,161862.0,97.0,1190.0,1320.0,1153.0,1106.0,1101.0,"3290 Sheridan Dr, Amherst",16.92,26.32
6150 Lake Rd,Brockport,NY,14420-9735,999900.0,105.699999,43.152725,-77.928929,,Monroe,,ROCHESTER CHRISTIAN CHURCH INC,Howard Hanna Real Estate Services,James Blaine,5857567300.0,5852232769.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",08/28/2008,100-year and 500-year Floodplain,1.03,-0.66,-0.52,-1.12,2607,2543,2574,2558,21850,22492,22723,22574,83863,90005,89534,88528,81604,100485,94515,100594,96183,69309,84196,63938,83644,62560,72960,91003,72162,90885,71668,27,305,313,24,90,6,73,26,301,315,24,91,6,70,213099,214444,87,2529,1452,306,266,91,1075,85,2505,1445,303,265,90,1059,172281,172534,195,13001,5895,1898,949,357,3479,191,12811,5825,1882,936,352,3433,172363,172453,1.98,1.33,-0.58,2025-02-24,Upstate NY,22126.0,89639.0,322049.0,657316.0,819411.0,1017.8,4796.1,18000.6,35007.7,42856.2,1040.8,4649.7,17626.0,34873.9,44168.8,1068.2,4904.1,19973.2,39416.6,49966.8,2624.5,7016.3,25502.4,45579.0,55859.0,8857.0,37736.0,137273.0,298060.0,367851.0,992.0,1121.0,1098.0,1090.0,1111.0,2445.4,5873.3,21516.5,46666.1,55206.7,2440.4,10655.1,41572.5,97958.9,114316.9,2189.2,9764.2,37418.3,78885.2,98538.2,2444.3,10645.5,37471.0,75807.9,96080.7,1618.8,7208.3,23402.3,45590.9,57548.6,1611.5,6956.1,22419.5,43010.1,55584.0,2208.0,10454.8,34723.3,67795.2,87100.7,1070.4,4682.7,15722.9,31813.2,42222.3,347.2,2032.8,6701.0,14911.2,19962.2,8237.0,36040.0,128553.0,277023.0,343737.0,5905.0,27216.0,88485.0,169095.0,220317.0,2333.0,8824.0,40068.0,107928.0,123420.0,23.0,1068.0,1169.0,1184.0,1168.0,1188.0,"1200 Marketplace Dr, Rochester",25.35,28.95
5342 Taberg Rd,Rome,NY,13440,16000000.0,562.0,43.253653,-75.5341545,,Oneida,,,Coldwell Banker Commercial,Eun Hwang,2017670550.0,2017840825.0,,,Yes,Areas with a 1% annual chance of flooding and a 26% chance of flooding over the life of a 30-year mortgage.,09/27/2013,100-year Floodplain,0.22,-1.03,0.68,-0.85,2881,2690,2753,2741,28114,25892,25949,25682,59067,54197,54568,54105,79517,83899,71778,81242,69894,60442,73534,59911,73273,59450,62235,75298,62422,75246,62229,0,323,168,64,51,26,276,0,321,168,64,51,25,274,155108,155295,18,2446,1062,546,277,239,2434,18,2422,1059,548,273,235,2399,144031,144508,35,5495,2326,895,661,404,5026,35,5429,2307,893,654,399,4961,143585,143801,1.93,0.1,0.44,2025-02-24,Upstate NY,26848.0,53354.0,107188.0,233954.0,292252.0,1606.9,3016.5,5589.6,12795.1,15913.0,1537.8,3178.6,6032.4,13496.3,16721.0,1405.5,2959.9,6062.3,14986.3,18719.6,1481.0,2934.1,5819.8,15092.2,18623.0,13008.0,25224.0,49705.0,107381.0,135075.0,894.0,878.0,898.0,927.0,935.0,1585.8,2857.3,6096.0,14995.1,17820.9,3568.4,7282.1,13398.8,28332.0,34548.2,2798.5,5626.8,11557.4,27326.1,34464.0,3183.5,6588.6,14059.6,28532.6,35631.3,1949.8,4217.6,8141.7,16093.3,20987.8,2011.0,4196.9,8557.5,16874.3,21677.2,3094.8,6029.1,12843.4,26285.4,33507.3,1851.1,3176.0,6292.6,13373.8,16529.9,774.2,1290.4,2737.3,5771.9,7108.9,11961.0,22741.0,45059.0,96447.0,119580.0,8018.0,15569.0,32772.0,65368.0,84247.0,3943.0,7173.0,12287.0,31079.0,35333.0,41.0,916.0,931.0,945.0,991.0,998.0,"6438 Basile Rowe, East Syracuse",40.81,47.85
County Route 59,Phoenix,NY,13135,2400000.0,305.0,43.2507867,-76.3335493,I,Oswego,Industrial,,"Operation Oswego County, Inc.",Austin Wheelock,3155321277.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",01/01/1900,100-year and 500-year Floodplain,-2.04,-1.26,-2.94,-1.91,6360,5812,5680,5635,17225,17482,17125,16909,110734,117492,114040,111859,69765,79363,66767,76612,64913,78696,92079,72062,88368,69062,72876,93586,71939,92382,70429,7,696,283,140,1,145,407,7,689,279,139,1,145,405,162140,162046,85,2075,1259,662,77,290,920,86,2045,1236,649,75,288,916,185011,184669,262,14516,7520,2861,704,1137,6125,259,14189,7324,2789,686,1120,6038,171903,171636,-2.37,-2.21,-3.18,2025-02-24,I85 Corridor,14491.0,105829.0,251085.0,511929.0,607513.0,761.5,5838.2,13242.3,27696.7,33182.0,755.5,5966.8,14135.5,29232.1,34236.0,1048.4,7249.6,15983.0,31835.7,36983.7,748.7,5763.6,13699.9,38882.0,44348.0,6317.0,46514.0,112326.0,230830.0,274817.0,1062.0,1155.0,1122.0,1048.0,1043.0,745.6,5907.5,13969.8,35650.0,40465.5,1426.1,12515.9,31191.7,67938.4,78731.2,1660.7,13454.0,32000.0,60537.8,71966.7,1780.5,13623.7,31534.0,59207.9,71172.2,1633.7,8116.2,19047.6,34586.0,41331.2,1134.9,8048.5,19908.5,37189.8,45165.1,1752.6,11988.0,28466.4,53712.6,65442.8,795.9,5143.3,12450.4,24172.6,30616.5,246.9,2213.6,5455.5,11287.0,13872.0,5967.0,44002.0,106082.0,210489.0,250222.0,4598.0,32205.0,77915.0,137282.0,167385.0,1369.0,11797.0,28167.0,73207.0,82837.0,59.0,1146.0,1165.0,1152.0,1104.0,1102.0,"6438 Basile Rowe, East Syracuse",24.79,29.32
6608 Crosby Rd,Alabama,NY,14013,,310.0,43.0927929,-78.4067356,TD,Genesee,"Commercial, Distribution, Hold for Development, Industrial, Industrial Live/Work Unit, Industrial Park, Master Planned Community, Medical, Mixed Use, Office, Office Park, Open Space, R&D, Retail Warehouse, Warehouse",,Genesee County Economic Development Center,Chris Suozzi,5853434866.0,5853430848.0,,,No,,,,2.84,-0.74,-1.61,-1.5,1282,946,995,992,3400,2751,2829,2808,34661,32730,32202,31719,63088,73525,66021,72750,66400,64149,77923,66609,77869,66947,61674,77846,62408,77784,62060,4,155,45,7,2,5,117,4,155,45,7,2,5,117,132580,132580,6,405,145,28,59,24,289,6,402,144,28,58,24,286,146666,146766,88,3464,1770,820,483,316,3065,86,3407,1749,805,484,317,3011,155946,156310,5.31,2.62,-1.7,2025-02-24,I85 Corridor,3017.0,33842.0,131321.0,333073.0,765300.0,105.5,1670.2,5827.9,16538.0,40263.5,176.0,1883.6,7128.5,18268.6,42283.7,246.6,2398.9,8659.0,19812.8,43490.4,206.0,1844.9,6605.3,19247.7,47115.9,1262.0,15203.0,58279.0,146287.0,344085.0,829.0,852.0,895.0,1120.0,1066.0,129.9,1598.2,6608.8,17431.3,49351.5,306.8,4121.8,15564.6,37806.9,101156.0,424.6,3986.8,16211.0,40975.8,92578.5,362.2,4231.8,17104.9,41370.3,89824.8,285.2,2735.0,10596.5,26012.1,56170.5,236.4,2850.3,10384.3,25220.7,54894.7,324.7,4038.9,15955.0,40383.2,86846.3,157.5,1852.3,7385.2,20447.4,42154.8,55.8,629.8,3289.6,9558.5,19169.4,1218.0,14110.0,54708.0,137551.0,323059.0,1028.0,10797.0,41316.0,105687.0,229761.0,190.0,3313.0,13391.0,31864.0,93298.0,77.0,848.0,901.0,957.0,1192.0,1126.0,"3290 Sheridan Dr, Amherst",30.5,33.83
2200 Hencle Blvd,Baldwinsville,NY,13027,8000000.0,123.5,43.184868,-76.001201,Industrial,Onondaga,Warehouse,,Cushman & Wakefield | Pyramid Brokerage Company,Christopher Savage,3154451030.0,3154452074.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-2.91,-2.34,-3.11,-2.3,13430,16366,15989,15618,32332,38889,37757,36872,115041,121145,117375,114680,84214,102679,79195,100989,76931,78489,104478,79463,103845,78314,74045,94997,73086,94300,71962,0,1824,1506,562,220,66,299,0,1774,1461,546,214,64,292,207669,207495,37,4133,3066,1491,437,403,1251,37,4017,2980,1447,426,397,1218,200815,200872,283,15771,8382,3044,754,1070,4912,281,15344,8120,2960,737,1051,4815,177331,177156,-1.99,-3.16,-3.27,2025-02-24,I85 Corridor,15758.0,124591.0,411822.0,528314.0,598215.0,835.6,6412.1,22383.3,28584.5,32519.2,1111.6,6740.2,23338.2,29911.6,33670.2,1048.1,7516.0,25363.3,32391.7,36704.6,1033.9,6141.6,30953.2,37624.6,41578.4,6705.0,55896.0,186056.0,238392.0,270624.0,955.0,1030.0,1040.0,1053.0,1045.0,587.0,6611.3,28179.7,34730.8,38341.5,1742.5,17173.7,55037.4,67726.7,75878.5,1948.4,15086.8,49889.2,63145.8,70969.9,2074.9,15966.0,48543.9,62851.0,71914.2,1330.2,9240.3,26305.0,35886.9,41767.1,1421.7,10798.5,30083.7,39641.6,45162.1,1721.6,13968.8,42834.5,56839.4,65400.2,698.8,6681.9,20053.9,26506.2,30344.3,203.9,2253.8,8856.5,12473.1,13964.6,6004.0,52184.0,169797.0,218217.0,247177.0,5316.0,39919.0,108369.0,146364.0,169126.0,688.0,12265.0,61427.0,71853.0,78051.0,36.0,1032.0,1050.0,1106.0,1112.0,1100.0,"6438 Basile Rowe, East Syracuse",12.63,23.9
